name,year,disrupted,source
Delta Private Jets,2005,1,wikipedia_ch11
Delta Shuttle,2005,1,wikipedia_ch11
Delta TechOps,2005,1,wikipedia_ch11
Eagle-Picher,2005,1,wikipedia_ch11
Era Aviation,2005,1,wikipedia_ch11
Erie Brewing Company,2005,1,wikipedia_ch11
Friedman's Inc.,2005,1,wikipedia_ch11
GoodTimes Entertainment,2005,1,wikipedia_ch11
Griffin Investigations,2005,1,wikipedia_ch11
Independence Air,2005,1,wikipedia_ch11
Levitz Furniture,2005,1,wikipedia_ch11
Mesaba Airlines,2005,1,wikipedia_ch11
Northwest Airlines,2005,1,wikipedia_ch11
Northwest Airlink,2005,1,wikipedia_ch11
Organized Living,2005,1,wikipedia_ch11
Ravn Alaska,2005,1,wikipedia_ch11
Refco,2005,1,wikipedia_ch11
SaveRite,2005,1,wikipedia_ch11
Song (airline),2005,1,wikipedia_ch11
Ultimate Electronics,2005,1,wikipedia_ch11
Winn-Dixie,2005,1,wikipedia_ch11
Xybernaut,2005,1,wikipedia_ch11
This list may not reflect recent changes,2006,1,wikipedia_ch11
Air America (radio network),2006,1,wikipedia_ch11
Anchor Hocking,2006,1,wikipedia_ch11
Bayou Hedge Fund Group,2006,1,wikipedia_ch11
Brook Mays,2006,1,wikipedia_ch11
Communications Corporation of America,2006,1,wikipedia_ch11
Cypress Gardens,2006,1,wikipedia_ch11
Dana Incorporated,2006,1,wikipedia_ch11
Dura Automotive Systems,2006,1,wikipedia_ch11
Grandy's,2006,1,wikipedia_ch11
Granite Broadcasting,2006,1,wikipedia_ch11
Le Gourmet Chef,2006,1,wikipedia_ch11
LoveSac,2006,1,wikipedia_ch11
Media Play,2006,1,wikipedia_ch11
Musicland,2006,1,wikipedia_ch11
Neoplan USA,2006,1,wikipedia_ch11
On Cue,2006,1,wikipedia_ch11
Oneida Limited,2006,1,wikipedia_ch11
Open Mobile,2006,1,wikipedia_ch11
Diocese of Davenport,2006,1,wikipedia_ch11
Sam Goody,2006,1,wikipedia_ch11
Satmex,2006,1,wikipedia_ch11
Sea Containers,2006,1,wikipedia_ch11
Seastreak,2006,1,wikipedia_ch11
Silicon Graphics,2006,1,wikipedia_ch11
Skippers Seafood & Chowder House,2006,1,wikipedia_ch11
Storehouse Furniture,2006,1,wikipedia_ch11
Suncoast Motion Picture Company,2006,1,wikipedia_ch11
TeleVideo,2006,1,wikipedia_ch11
Tower Records,2006,1,wikipedia_ch11
WearEver Cookware,2006,1,wikipedia_ch11
Werner Co.,2006,1,wikipedia_ch11
West Margin Press,2006,1,wikipedia_ch11
Wicks 'N' Sticks,2006,1,wikipedia_ch11
Woodwind & Brasswind,2006,1,wikipedia_ch11
Your Black Muslim Bakery,2006,1,wikipedia_ch11
This list may not reflect recent changes,2007,1,wikipedia_ch11
American Home Mortgage,2007,1,wikipedia_ch11
Ameriquest Mortgage,2007,1,wikipedia_ch11
Amp'd Mobile,2007,1,wikipedia_ch11
Bally Total Fitness,2007,1,wikipedia_ch11
Bombay Company,2007,1,wikipedia_ch11
Delta Entertainment Corporation,2007,1,wikipedia_ch11
Don Pablo's,2007,1,wikipedia_ch11
Enesco,2007,1,wikipedia_ch11
GameCrazy,2007,1,wikipedia_ch11
Hancock Fabrics,2007,1,wikipedia_ch11
Hollywood Video,2007,1,wikipedia_ch11
Kitty Hawk Aircargo,2007,1,wikipedia_ch11
Levitz Furniture,2007,1,wikipedia_ch11
Malden Mills,2007,1,wikipedia_ch11
Mars 2112,2007,1,wikipedia_ch11
MAXjet Airways,2007,1,wikipedia_ch11
Movie Gallery,2007,1,wikipedia_ch11
MovieBeam,2007,1,wikipedia_ch11
NetBank,2007,1,wikipedia_ch11
New Century Financial,2007,1,wikipedia_ch11
Roadhouse Grill,2007,1,wikipedia_ch11
Roman Catholic Diocese of San Diego,2007,1,wikipedia_ch11
Ronco,2007,1,wikipedia_ch11
SCO Group,2007,1,wikipedia_ch11
Specialty Restaurant Group,2007,1,wikipedia_ch11
Sunny's Surplus,2007,1,wikipedia_ch11
Tweeter (store),2007,1,wikipedia_ch11
